topic_id,phi_sum,theta_sum,h,top_terms_rel,top_terms,label
0,23222.657013534987,60.41461457519005,8.39,endless ago souls lies earth stands mighty gold,its yet these though those world nor old,0: endless ago souls lies earth stands mighty gold
1,12512.534003312521,32.029515918642424,8.0,lady wife woman houses old children corner country,old her little she house very man young,1: lady wife woman houses old children corner country
2,28956.649244272387,59.70616809978464,8.67,navy frigate officers wars gun jack war officer,man men war captain deck officers you these,2: navy frigate officers wars gun jack war officer
3,14117.618542610831,37.062946892431206,7.5,babbalanja media lord mardi beard ay cried alas,said we babbalanja my lord you media your,3: babbalanja media lord mardi beard ay cried alas
4,14524.710428706423,36.995035679333476,7.49,thee thou thy art brother oh nay feel,me thou thee my thy oh will ye,4: thee thou thy art brother oh nay feel
5,16647.694383853912,43.611265503199384,8.12,deal mate rope indian forecastle concluded cases chest,most such good very many being much men,5: deal mate rope indian forecastle concluded cases chest
6,7338.8132155800395,22.740072256362375,7.27,yard calm sails ocean aloft waves breeze sky,sea we our sail us death ocean how,6: yard calm sails ocean aloft waves breeze sky
7,27017.193918600486,48.36990458633514,8.85,valley natives islanders fruit singular islands tree savage,these valley natives its about other most after,7: valley natives islanders fruit singular islands tree savage
8,9657.810654178018,22.106516230512057,6.4,myself fate expression my me gazed entered sought,my me myself before again still our moment,8: myself fate expression my me gazed entered sought
9,26888.75246566917,45.38371320691355,8.41,bed sleep sitting room got used tried sit,my me very thought you could about little,9: bed sleep sitting room got used tried sit
10,19599.921680130807,40.81051702165139,8.45,vessel craft aboard vessels anchor stern sailed sailing,her ship captain sea she boat ships we,10: vessel craft aboard vessels anchor stern sailed sailing
11,15916.500166361207,37.26082910018233,8.27,sperm whales whale fish whaling coast chapter seas,whale whales sperm you fish has these any,11: sperm whales whale fish whaling coast chapter seas
12,30333.03323456855,50.76423849350548,8.0,sir cant dont hes mr gentlemen thats wont,you said sir me my your man here,12: sir cant dont hes mr gentlemen thats wont
13,11394.563438021638,38.39953272416002,7.77,golden leaves green wall noon gained spring buried,its you long through where round air here,13: golden leaves green wall noon gained spring buried
14,11321.832680611817,40.01050521935682,8.61,kings king isle royal mardi behold visit island,king old these kings media very many mardi,14: kings king isle royal mardi behold visit island
15,36332.8738200398,73.02830509067007,8.42,nature honest dear friends yourself pray sense friend,you man your if will me my do,15: nature honest dear friends yourself pray sense friend
16,23018.851489829663,56.33567280179192,8.06,pierre mother girl herself she her entirely possibly,pierre her she any mother own very most,16: pierre mother girl herself she her entirely possibly
17,22310.60496116267,45.10051609704748,8.61,aye cry boats instant iron boat shot stern,boat seemed still its ye down head man,17: aye cry boats instant iron boat shot stern
18,20151.018447571696,47.905353625873666,7.81,ourselves us we our ghost doctor canoe exclaimed,we our us after long could doctor about,18: ourselves us we our ghost doctor canoe exclaimed
19,3931.3662113021364,11.964776877056174,7.39,cabin table dinner bit mr hair finding returning,cabin little captain about himself though deck much,19: cabin table dinner bit mr hair finding returning
