topic_id,phi_sum,theta_sum,h,top_terms,label,0,1
0,3559.614300897099,11.24982950336184,7.29,its old nor round long white great man,0: its old nor round long white great man,2.2451196,-0.0028564914
1,4019.7700655803633,14.03726941703114,6.8,old boy years father talk stone plain money,1: old boy years father talk stone plain money,2.196215,-0.48921016
2,19688.651546784546,42.38254093042314,8.51,deck man men you top captain our ship,2: deck man men you top captain our ship,1.3814441,0.59537905
3,4404.847321820743,12.81092876956169,5.37,babbalanja said my media lord you cried mardi,3: babbalanja said my media lord you cried mardi,2.86963,-0.6619576
4,3117.121053195811,7.391124679825273,7.37,pierre thou her thee me thy brother my,4: pierre thou her thee me thy brother my,2.4960947,-0.059478704
5,553.2131266842919,2.4517004595216183,7.87,teeth though stranger if aside long himself down,5: teeth though stranger if aside long himself down,2.3856304,-0.06414163
6,1941.1794623684668,6.081855198318634,7.2,death dead life we die sea calm night,6: death dead life we die sea calm night,2.3287568,-0.0854303
7,4538.3153057209365,11.287344051418513,8.01,its fruit islands island tree natives trees great,7: its fruit islands island tree natives trees great,2.2960038,0.08355482
8,261.92595056621474,2.323037715927059,7.67,far round night me its seemed wide how,8: far round night me its seemed wide how,2.3961031,-0.07934937
9,20697.538163630226,34.64311270114033,8.38,my me very about little thought could if,9: my me very about little thought could if,3.616085,-0.099538475
10,13196.746846518952,27.707195076944195,8.4,we us after boat men about came our,10: we us after boat men about came our,1.723235,-0.06515418
11,9703.148701768892,25.245611851482582,6.76,her she lady herself could if these eyes,11: her she lady herself could if these eyes,1.8549387,-1.3469328
12,14330.536839564133,23.334651827914957,8.09,you said captain sir me my man your,12: you said captain sir me my man your,3.0771213,-0.9778144
13,1318.0741944472156,5.743421574849999,6.27,doctor two box hundred honest want other money,13: doctor two box hundred honest want other money,2.4029229,-0.08498605
14,7519.26025912296,26.077991328955793,8.28,king kings these mardi media very island being,14: king kings these mardi media very island being,2.1906123,0.15771434
15,39901.048392687415,61.51519859188272,8.24,you your me my man do if will,15: you your me my man do if will,3.4125173,-1.2799647
16,4509.961413199193,11.838680896262813,6.73,pierre very room little shall she father said,16: pierre very room little shall she father said,2.8429546,0.375599
17,1036.6703761622186,6.302184769135498,7.48,indian may though kind must himself such ever,17: indian may though kind must himself such ever,2.377844,-0.045694243
18,13170.729560537597,29.114948843967642,7.13,we our us could ourselves its after side,18: we our us could ourselves its after side,0.8813266,-0.50457305
19,280.6206496624357,2.752104234705732,7.28,public craft nature than wind cabin book off,19: public craft nature than wind cabin book off,2.3945851,-0.07448411
20,10957.703220510164,25.36327737498925,8.16,night himself again down here two seemed bed,20: night himself again down here two seemed bed,2.0052886,-0.05054944
21,17673.714903341184,42.10379437700385,8.27,we our your old us yet you though,21: we our your old us yet you though,1.3460118,-0.34128866
22,17817.71362506928,44.91356701298023,8.18,pierre any only yet himself though world most,22: pierre any only yet himself though world most,2.2598946,1.0406121
23,1923.5175291623257,6.337177892495149,7.5,seemed sea old deck cabin every weather man,23: seemed sea old deck cabin every weather man,2.3282673,-0.030441055
24,493.9139806138004,3.82038590529824,6.33,french her fate she effect people thoughts young,24: french her fate she effect people thoughts young,2.3939853,-0.08480374
25,2332.7269744464797,5.284915185952351,7.68,my lord pipe wine we gods king your,25: my lord pipe wine we gods king your,2.35046,-0.11147475
26,10845.387974826064,23.59107616309138,7.84,whale whales sperm has great you these those,26: whale whales sperm has great you these those,2.8851135,0.8235313
27,724.861450502405,4.78540330825457,6.55,table dinner cabin its yet three old still,27: table dinner cabin its yet three old still,2.3846388,-0.070059724
28,11512.73306750495,39.18304434148629,7.86,we sea our its land through green long,28: we sea our its land through green long,1.6675177,-0.30895105
29,13429.790663895215,32.51539232465997,8.2,man war may has navy men american any,29: man war may has navy men american any,2.0015678,0.63004017
30,6134.352671218312,15.422287820174725,7.2,thou me thee my thy will pierre oh,30: thou me thee my thy will pierre oh,2.9814131,-0.08068649
31,21755.211027709403,46.43940189268424,8.59,ship sea captain ships such than most any,31: ship sea captain ships such than most any,1.6381487,0.9015639
32,11834.848017392236,24.132762853286454,7.99,ye old man here see me dont sir,32: ye old man here see me dont sir,2.572586,-0.7344705
33,14089.066039674632,27.130437847351487,7.18,my me myself before could thought through how,33: my me myself before could thought through how,3.907177,-0.055291265
34,16308.557990985606,34.24023851379276,8.4,boat sea head its ship boats whale water,34: boat sea head its ship boats whale water,1.6168696,0.3147608
35,3993.416325918324,8.500948800885327,7.51,me my mr house room door woman again,35: me my mr house room door woman again,2.569401,-0.12569204
36,656.6310125602481,4.011852564898374,4.6,fish fast gentleman law boat lord poor line,36: fish fast gentleman law boat lord poor line,2.4265962,-0.08685086
37,7659.763553751101,23.02403951956849,7.71,thou me oh thy thee my ye god,37: thou me oh thy thee my ye god,2.8492708,-0.1263774
38,19616.564525552367,31.819730665701854,8.76,these about little valley after house most other,38: these about little valley after house most other,1.9164643,0.7392201
39,17685.55191436582,43.08953321281267,8.64,old very about these little we after good,39: old very about these little we after good,1.816337,0.38207954
